alf_excel_row,alf_facility,alf_corporate,alf_address,alf_city,alf_state,alf_beds,alf_census,alf_ownership,alf_served,confidence,snf_excel_row,snf_facility,snf_corporate,snf_beds,snf_census,cms_provider,cms_beds,cms_chain,cms_chain_id
6242,WURTLAND NURSING AND REHAB,MAJESTIC CARE,100 Wurtland Ave,Wurtland,KY,44,35,Corporate,Yes,HIGH,6230,WURTLAND NURSING AND REHABILITATION,DAVID MARX,126,109.2,WURTLAND NURSING AND REHABILITATION,126.0,DAVID MARX,179.0
8706,ADAMS FARM LIVING REHABILITATION,CENTURY CARE MANAGEMENT,5100 Mackay Rd,Jamestown,NC,33,26,Corporate,Yes,HIGH,8674,ADAMS FARM LIVING & REHABILITATION,CENTURY CARE MANAGEMENT,120,117.8,ADAMS FARM LIVING & REHABILITATION,120.0,CENTURY CARE MANAGEMENT,131.0
8711,ALAMANCE HEALTH CARE CENTER,MFA,1987 Hilton Rd,Burlington,NC,132,106,Corporate,Yes,HIGH,8676,ALAMANCE HEALTH CARE CENTER,LIFEWORKS REHAB,180,167.1,ALAMANCE HEALTH CARE CENTER,180.0,LIFEWORKS REHAB,768.0
8721,ALPINE HEALTH & REHAB OF ASHEBORO,INDEPENDENT,230 E Presnell St,Asheboro,NC,74,59,Independent,Yes,HIGH,8677,ALPINE HEALTH AND REHABILITATION OF ASHEBORO,,238,130,ALPINE HEALTH AND REHABILITATION OF ASHEBORO,238.0,,
8736,ATRIUM HEALTH CLEVELAND PINES,ATRIUM HEALTH,1404 N Lafayette St,Shelby,NC,40,32,Corporate,Yes,HIGH,8927,CLEVELAND PINES,ATRIUM HEALTH,120,101.4,CLEVELAND PINES,120.0,ATRIUM HEALTH,55.0
8737,ATRIUM HEALTH HUNTERSVILLE OAKS,ATRIUM HEALTH,12019 Verhoeff Dr,Huntersville,NC,39,31,Corporate,Yes,HIGH,9195,HUNTERSVILLE OAKS,ATRIUM HEALTH,168,88.2,HUNTERSVILLE OAKS,168.0,ATRIUM HEALTH,55.0
8738,ATRIUM HEALTH JESSE HELMS NURSING CENTER,ATRIUM HEALTH,1411 Dove St,Monroe,NC,24,19,Corporate,Yes,HIGH,9267,JESSE HELMS NURSING CENTER,ATRIUM HEALTH,70,62,JESSE HELMS NURSING CENTER,70.0,ATRIUM HEALTH,55.0
8739,ATRIUM HEALTH SARDIS OAKS,ATRIUM HEALTH,5151 Sardis Rd,Charlotte,NC,23,18,Corporate,Yes,HIGH,9624,SARDIS OAKS,ATRIUM HEALTH,124,89.1,SARDIS OAKS,124.0,ATRIUM HEALTH,55.0
8742,AUTUMN CARE OF BISCOE,SABER HEALTHCARE GROUP,401 Lambert Rd,Biscoe,NC,50,40,Corporate,Yes,HIGH,8685,AUTUMN CARE OF BISCOE,SABER HEALTHCARE GROUP,141,100.3,AUTUMN CARE OF BISCOE,141.0,SABER HEALTHCARE GROUP,461.0
8743,AUTUMN CARE OF RAEFORD,SABER HEALTHCARE GROUP,1206 N Fulton St,Raeford,NC,129,103,Corporate,Yes,HIGH,8693,AUTUMN CARE OF RAEFORD,SABER HEALTHCARE GROUP,132,121.4,AUTUMN CARE OF RAEFORD,132.0,SABER HEALTHCARE GROUP,461.0
8744,AUTUMN CARE OF WAYNESVILLE,SABER HEALTHCARE GROUP,360 Old Balsam Rd,Waynesville,NC,94,75,Corporate,Yes,HIGH,8698,AUTUMN CARE OF WAYNESVILLE,SABER HEALTHCARE GROUP,90,81.9,AUTUMN CARE OF WAYNESVILLE,90.0,SABER HEALTHCARE GROUP,461.0
