excel_row,facility,corporate_name,address,city,state,ownership_type,do_we_serve,beds,census,data_quality_flag,facility_tags,corporate_tags,all_tags,confidence
19086,MANCHESTER LAKES SENIOR APARTMENT HOMES,MANCHESTER LAKES II APARTMENTS,7131 Silver Lake Blvd,Alexandria,VA,Independent,No,256,205,,SENIOR_APARTMENTS,,SENIOR_APARTMENTS,HIGH
19096,MAPLE COTTAGE ASSISTED LIVING,KPM DEVELOPMENT LLC,101 Maple Drive,Hendersonville,TN,Independent,No,16,13,,COTTAGE,,COTTAGE,MEDIUM
19097,MAPLE COTTAGE ASSISTED LIVING TRANSITIONS,MG PROPERTIES LLC,711 Halltown Road,Portland,TN,Independent,No,21,17,,COTTAGE,,COTTAGE,MEDIUM
19183,MERIDIAN HILLS SENIOR APARTMENTS,425 MERIDIAN HILLS DRIVE LLC,425 Meridian Hills Dr,Louisville,KY,Independent,No,244,195,,SENIOR_APARTMENTS,,SENIOR_APARTMENTS,HIGH
19215,MOFFETT MANOR SENIOR APARTMENTS,WARRENTON VOLUNTEER FIRE COMPANY PROPERTIES LC,115 Manor Ct,Warrenton,VA,Independent,No,98,78,,SENIOR_APARTMENTS,,SENIOR_APARTMENTS,HIGH
19289,MYERS APARTMENTS,IL-2200 LLC,27200 Cedar Road *,Beachwood,OH,Independent,No,193,154,,,IL_ABBREVIATION,IL_ABBREVIATION,LOW
19324,NORA COMMONS ON THE MONON SENIOR APARTMENTS,NORA COMMONS,8905 Evergreen Avenue,Indianapolis,IN,Independent,No,272,218,,SENIOR_APARTMENTS,,SENIOR_APARTMENTS,HIGH
19363,OAK HILL SENIOR APARTMENTS,CLOVER COMMUNITIES TAYLOR LLC,512 Oak St,Taylor,PA,Independent,No,226,181,,SENIOR_APARTMENTS,,SENIOR_APARTMENTS,HIGH
19479,PARK PLACE SENIOR APARTMENTS,CENTRUM-MANASSAS PARK LIMITED PARTN,9659 Manassas Dr,Manassas,VA,Independent,No,148,118,,SENIOR_APARTMENTS,,SENIOR_APARTMENTS,HIGH
19488,PARK VISTA RETIREMENT COMMUNITY,PARK VISTA IL PROPERTIES LLC,1216 5th Ave,Youngstown,OH,Independent,No,264,211,,,IL_ABBREVIATION,IL_ABBREVIATION,LOW
19507,PARSONS VILLAGE EAST SENIOR APARTMENTS,CITY OF COLUMBUS OHIO,1833 Parsons Ave,Columbus,OH,Corporate,No,60,48,,SENIOR_APARTMENTS,,SENIOR_APARTMENTS,HIGH
19570,PLAZA TOWERS SENIOR APARTMENTS,HEALTH & EDUCATIONAL FACILITIE,224 Thornwood Dr,Greeneville,TN,Independent,No,114,91,,SENIOR_APARTMENTS,,SENIOR_APARTMENTS,HIGH
19606,PRIME INDEPENDENT LIVING GASTONIA,NEW HOPE BAPTIST CHURCH,2024 Redbud Dr.,Gastonia,NC,Independent,No,145,116,,INDEPENDENT_LIVING,,INDEPENDENT_LIVING,HIGH
19789,ROSE OF SHARON'S SENIOR VILLA,LEE STREET DEVELOPERS LLC,5410 Lee Avenue,Chattanooga,TN,Independent,No,28,22,,VILLA,,VILLA,MEDIUM
19819,SADDLEBROOK SENIOR APARTMENTS,ZCS SADDLEBROOK HOUSING PARTNERS,203 Carver Ln,Lebanon,TN,Independent,No,115,92,,SENIOR_APARTMENTS,,SENIOR_APARTMENTS,HIGH
19833,SAMARITAN VILLA,MEDINA OHIO INVESTORS LIMITED PARTNERSHIP,809 East Washington Street,Medina,OH,Independent,No,30,24,,VILLA,,VILLA,MEDIUM
19863,SEM TERRACE,S E M VILLA II INC,5371 S Milford Rd,Milford,OH,Independent,No,115,92,,,VILLA,VILLA,LOW
19866,SENIOR APARTMENTS,SCHROER PROPERTIES OF CALDWELL INC,40 Summit Court,Caldwell,OH,Corporate,No,34,27,,SENIOR_APARTMENTS,,SENIOR_APARTMENTS,HIGH
19966,SOUTHERN HERITAGE INDEPENDENT LIVING,SCENIC CITY HEALTHCARE OF TENNESSEE LLC,5310 Clemons Rd,Chattanooga,TN,Independent,No,56,45,,INDEPENDENT_LIVING,,INDEPENDENT_LIVING,HIGH
19985,SPRING ARBOR COTTAGE OF FREDERICKSBURG,SPRING ARBOR COTTAGE OF FREDERICKSB,1804 Bragg Road,Fredericksburg,VA,Independent,No,40,32,,COTTAGE,COTTAGE,COTTAGE,MEDIUM
19986,SPRING ARBOR COTTAGE OF SALISBURY,SPRING ARBOR COTTAGE OF SALISBURY VA LANDLORD LLC,14020 Steeplestone Drive,Midlothian,VA,Independent,No,48,38,,COTTAGE,COTTAGE,COTTAGE,MEDIUM
20043,ST. MARY'S VILLA RESIDENCE,PHILLIP KAREN C & CHARMAINE D,One Pioneer Place,Moscow,PA,Independent,No,68,54,,VILLA,,VILLA,MEDIUM
20132,SUSAN'S VICTORIAN COTTAGE,FERRIS KELLY S,111 Hydrangea Lane,Mt. Pleasant,PA,Independent,No,16,13,,COTTAGE,,COTTAGE,MEDIUM
