addr_key,glr_facility_name,glr_type,glr_beds,glr_census,glr_patients,glr_cmsccn,glr_status,glr_parent_company,city,state,zip,pc,psych,mh,pod,pain,wc,spec
2230 FARMINGTON DR,Brookdale Chapel Hill MC,MC,38,30,28,NULL,Established,Brookdale Senior Living,Chapel Hill,North Carolina,27517,22,0,0,0,0,6,19
2233 W JEFFERSON ST,North Woods Village,SNFMD,NULL,NULL,125,155139,Established,AMERICAN SENIOR COMMUNITIES,KOKOMO,Indiana,46901,114,0,0,0,0,17,0
2237 ENGLE RD,Englewood Health & Rehabilitation Center,SNF,NULL,NULL,55,155654,Established,Pavilion Healthcare,Fort Wayne,Indiana,46809,51,0,0,0,0,3,0
224 FISHERSVILLE RD,Care Corner - ALF,AL,NULL,NULL,19,NULL,Established,INDEPENDENT,Fisherville,Virginia,22939,16,0,0,0,0,1,0
2249 MURRELL RD,THE ELMS OF LYNCHBURG-ALF,AL,NULL,NULL,14,NULL,Established,INDEPENDENT,LYNCHBURG,Virginia,24501,13,0,0,0,0,4,0
225 RUCCIO WAY,The Lantern at Morning Pointe Lexington,AL,NULL,NULL,41,NULL,Established,MORNING POINTE SENIOR LIVING,Lexington,Kentucky,40503,41,0,0,0,0,1,0
225 SAINT JOHN RD,Kensington Health Center,SNFMD,82,79,83,185443,Established,Bluegrass/Encore,Elizabethtown,Kentucky,42701,61,0,0,0,0,0,0
2270 OAKLAND RD,Highlands Senior Living,AL,44,1,1,NULL,Established,Highlands Senior Living LLC,Forest City,North Carolina,28043,1,0,0,0,0,0,1
2275 RUIN CREEK RD,Henderson Nursing and Living Center,AL/SNF,65,51,31,345316,Established,Maximus Healthcare Group,Henderson,North Carolina,27537,30,0,0,0,0,0,0
230 E PRESNELL ST,Alpine Health & Rehab of Asheboro,SNF,NULL,NULL,78,345155,Established,INDEPENDENT,Asheboro,North Carolina,27203,73,0,0,0,0,0,0
2309 S MILLER ST 2309 S MILLER ST,Willows of Shelbyville,SNF,121,79,74,155022,Established,Legacy Healthcare,Shelbyville,Indiana,46176,74,0,0,0,0,1,0
231 N JACKSON ST,Good Samaritan Home and Rehabilitative Center,SNF,NULL,NULL,68,155561,Established,AMERICAN SENIOR COMMUNITIES,OAKLAND CITY,Indiana,47660,56,0,0,0,0,7,0
2316 SPRINGMILL RD,Oak Creek Terrace Nursing & Rehab Center,SNF,NULL,NULL,29,365899,Established,CARING PLACE HEALTHCARE,KETTERING,Ohio,45440,24,0,0,0,0,0,0
2320 N MONTGOMERY RD,Aspen Place Health Campus ALF,AL,NULL,NULL,23,155797,Established,TRILOGY,Greensburg,Indiana,47240,22,0,0,0,0,10,0
2320 N MONTGOMERY RD,Aspen Place Health Campus SNF,SNFMD,NULL,NULL,40,155797,Established,TRILOGY,Greensburg,Indiana,47240,40,0,0,0,0,8,0
"2323 CONCRETE RD, CARLISLE, KY 40311",Willowbrook Healthcare,SNF,80,15,25,NULL,Established,INDEPENDENT,Carlisle,Kentucky,40311,25,0,0,0,0,0,0
233 RUCCIO WAY,Morning Pointe of Lexington,AL,80,69,36,NULL,Established,MORNING POINTE SENIOR LIVING,Lexington,Kentucky,40503,31,0,0,0,0,2,0
2330 SMITH RD,Bath Manor Special Care Centre,SNF,130,110,37,365847,Established,Saber Healthcare Group,Akron,Ohio,44333,22,0,0,0,0,8,0
234 NORTHDALE AVE,Best of Care,AL,31,30,26,NULL,Established,INDEPENDENT,Kannapolis,North Carolina,28081,21,0,0,0,0,3,0
235 NEW WILSON LN,Middlesboro Nursing and Rehab,SNF,NULL,NULL,56,185240,Established,Bluegrass/Encore,MIDDLESBORO,Kentucky,40965,26,0,0,0,0,0,0
236 WARRIOR WAY,Wyoming Healthcare Center SNF/NF,SNFMD,NULL,NULL,60,515164,Established,Communicare,NEW RICHMOND,West Virginia,24867,20,0,0,0,0,0,0
2365 NASHVILLE RD,Colonial Center,SNF,48,48,31,185048,Established,Bluegrass/Encore,Bowling Green,Kentucky,42101,20,0,0,0,0,0,0
238 S WASHINGTON ST,Greenfield SNF Inc,SNFMD,50,22,40,366038,Established,Life Care Centers,Greenfield,Ohio,45123,36,0,0,0,0,22,0
2387 WARM HEARTH DR,WARM HEARTH-SHOWALTER CENTER,AL,NULL,NULL,22,NULL,Established,Warm Hearth Village,BLACKSBURG,Virginia,24060,15,0,0,0,0,0,0
2387 WARM HEARTH DR,WARM HEARTH-THE WILLOWS,AL,NULL,NULL,17,NULL,Established,Warm Hearth Village,BLACKSBURG,Virginia,24060,9,0,0,0,0,0,0
2387 WARM HEARTH DR,WARM HEARTH-THE ARBORS,MC,NULL,NULL,10,NULL,Established,Warm Hearth Village,BLACKSBURG,Virginia,24060,7,0,0,0,0,0,0
2387 WARM HEARTH DR,WARM HEARTH-THE COVE-SNF/NF,SNF,NULL,NULL,55,NULL,Established,Warm Hearth Village,BLACKSBURG,Virginia,24060,35,0,0,0,0,0,0
240 S EARLEY STATION RD,Ahoskie Assisted Living,AL,NULL,65,52,NULL,Established,RPA Management,Ahoskie,North Carolina,27910,49,0,0,0,0,10,0
2400 APPALACHIAN BLVD,Ardenwoods IN,IL,NULL,0,0,NULL,Established,STORYPOINT,Arden,North Carolina,28704,0,0,0,0,0,0,0
2400 CHATEAU DR,The Waters of Muncie,SNFMD,NULL,NULL,53,155443,Established,INFINITY HEALTHCARE CONSULTING,MUNCIE,Indiana,47303,37,0,0,0,0,8,0
2400 COLLEGE AVE,Majestic Care of Goshen,SNF,186,118,94,155689,Established,Majestic Care,Goshen,Indiana,46528,92,0,0,0,0,12,0
2406 ATHERHOLD RD,Forest Health and Rehab Center,SNFMD,NULL,NULL,89,495302,Established,SABER HEALTHCARE GROUP,LYNCHBURG,Virginia,24501,66,0,0,0,0,5,0
2408 HODGE RD,TerraBella of Knightdale,AL/MC,NULL,NULL,41,NULL,Established,SENIOR LIFESTYLE,Knightdale,North Carolina,27545,39,0,0,0,0,9,37
2415 SANDY PORTER RD,Mecklenburg Health & Rehabilitation,SNF,NULL,NULL,49,345471,Established,SANSTONE,Charlotte,North Carolina,28273,46,0,0,0,0,0,0
2416 HWY 70 E,PruittHealth - Crystal Coast,SNF,104,90,17,345182,Established,PRUITT HEALTH,Beaufort,North Carolina,28516,14,0,0,0,0,0,0
2420 LAKE WHEELER RD,PruittHealth - Raleigh,SNF,NULL,NULL,136,345538,Established,PRUITT HEALTH,Raleigh,North Carolina,27603,100,0,0,0,0,36,0
2461 LEGION RD,Carrolton of Fayetteville,SNF,NULL,NULL,88,345376,Established,PRINCIPLE,Fayetteville,North Carolina,28306,73,0,0,0,0,0,0
24724 S BUSINESS 52,Trinity Place SNF,SNFMD,76 SNF ; 27 ALF,69 SNF ; 21 ALF,75,NULL,Established,Lutheran Home,Albemarle,North Carolina,28001,60,0,0,0,0,27,0
24724 S BUSINESS 52,Trinity Place ALF,SNFMD,76 SNF ; 27 ALF,69 SNF ; 21 ALF,18,NULL,Established,Lutheran Home,Albemarle,North Carolina,28001,18,0,0,0,0,3,0
25 OLD OAKS DR,English Meadows Fishersville Campus,AL,NULL,NULL,43,NULL,Established,INDEPENDENT,FISHERSVILLE,Virginia,22939,35,0,0,0,0,1,0
25 SUNNYBROOK ROA,Sunnybrook Rehabilitation Center,SNF,NULL,NULL,46,345077,Established,Southern Healthcare Management LLC,Raleigh,North Carolina,27610,42,0,0,0,0,0,0
250 BISHOP LN,The Greens at Cabarrus,SNFMD,NULL,NULL,118,345362,Established,CCH HEALTHCARE,Concord,North Carolina,28025,96,0,0,0,0,20,85
250 GLENN AVE,St Catherine's Manor of Wash CH,SNFMD,NULL,NULL,45,365318,Established,HCF,Washington Court House,Ohio,43160,15,0,0,0,0,10,0
250 HOPKINS RD,Kerner Ridge Assisted Living & Memory Care,AL,66,57,19,NULL,Established,Navion,Kernersville,North Carolina,27284,16,0,0,0,0,0,0
250 LOVERS LN,River Trace Nursing and Rehabilitation Center,SNFMD,NULL,NULL,150,345215,Established,PRINCIPLE,Washington,North Carolina,27889,100,0,0,0,0,35,0
