excel_row,facility,corporate_name,address,city,state,source_type,ownership_type,do_we_serve,beds,census,pattern_tags
19423,OTTERBEIN - ST. MARYS RETIREMENT  COMMUNITY,OTTERBEIN ST MARYS LLC,11230 State Route 364,St Marys,OH,ALF,Independent,No,295,236,SHORT_LLC
19426,OTTERBEIN NORTH SHORE RETIREMENT COMMUNITY,OTTERBEIN NORTH SHORE LLC,9400 North Shore Blvd.,Lakeside Marblehead,OH,ALF,Independent,No,152,122,SHORT_LLC
19427,OTTERBEIN PEMBERVILLE,OTTERBEIN PORTAGE VALLEY LLC,20311 Pemberville Rd,Pemberville,OH,ALF,Independent,No,251,201,SHORT_LLC
19437,OVERLOOK GREEN,SNH/LTA PROPERTIES,5250 Meadowgreen Dr,Pittsburgh,PA,ALF,Corporate,No,104,83,PROPERTIES
19446,OWINGSVILLE MANOR ALC,JUNIPER TREE RECOVERY LLC,201 Williams Ave.,Owingsville,KY,ALF,Independent,No,60,48,SHORT_LLC
19448,OXFORD CROSSINGS,OXFORD PROPERTY PC LLC,310 East Winchester Avenue,Langhorne,PA,ALF,Independent,No,116,93,"PROPERTIES, LLC"
19449,OXFORD ENHANCED SENIOR LIVING,OXFORD PROPERTY SNF LLC,300 E Winchester Ave,Langhorne,PA,ALF,Independent,No,410,328,"PROPERTIES, LLC"
19450,PACIFICA SENIOR LIVING HERITAGE HILLS,"PACIFICA HERITAGE CIRCLE, LLC",3200 Heritage Cir,Hendersonvlle,NC,ALF,Corporate,No,120,96,SHORT_LLC
19452,PACIFICA SENIOR LIVING STERLING,PACIFICA STERLING LLC,46555 Harry Byrd Hwy,Sterling,VA,ALF,Independent,No,66,53,SHORT_LLC
19457,PALMETTO OAKS RESIDENTIAL CARE,SCLR HOLDINGS LLC,206 S Gum St,Pageland,SC,ALF,Independent,No,58,46,"HOLDINGS, LLC"
19460,PANTEGO REST HOME,OLN PROPERTIES LLC,143 Swamp Road,Pantego,NC,ALF,Independent,No,30,24,"PROPERTIES, LLC"
19462,PARADISE MANOR,EAST LINCOLN AVENUE LLC,206 E Lincoln Ave,Hatfield,PA,ALF,Independent,No,21,17,SHORT_LLC
19463,PARAMOUNT SENIOR LIVING AT BETHEL PARK,HCRI PENNSYLVANIA PROPERTIES HOLDING CO,5785 Baptist Road,Bethel Park,PA,ALF,Corporate,No,110,88,"HOLDINGS, PROPERTIES"
19464,PARAMOUNT SENIOR LIVING AT CHAMBERSBURG ROAD,HCRI PA PROPERTIES HOLDING COMPANY,6375 Chambersburg Rd,Fayetteville,PA,ALF,Corporate,No,216,173,"HOLDINGS, PROPERTIES"
