excel_row,facility,corporate_name,address,city,state,ownership_type,do_we_serve,db_beds,db_census,nic_operator,nic_owner,nic_ccn,nic_profit_status,nc_units,al_units,mc_units,il_units,aa_units,total_units,classification,tags,detail
9368,MATTHEWS GLEN,ACTS RETIREMENT COMMUNITY,733 Plantation Estates Dr,Matthews,NC,Independent,Yes,19,15,,,,,0,0,0,0,0,0,NO_NIC_MATCH,,
9369,MATTHEWS HEALTH AND REHAB,SABER HEALTHCARE GROUP,600 Fullwood Ln,Matthews,NC,Corporate,Yes,89,71,,,,,0,0,0,0,0,0,NO_NIC_MATCH,ADDR_MATCHES_DB_SNF,Same address as SNF: MATTHEWS HEALTH & REHAB CENTER
9370,MCALPINE ADULT CARE,INDEPENDENT,3806 Kathy Rd,Morgonton,NC,Independent,Yes,41,33,,,,,0,0,0,0,0,0,NO_NIC_MATCH,,
9371,MCALPINE ADULT CARE,"INTEGRITY-MCALPINE ADULT CARE, LLC",3806 Kathy Rd,Morganton,NC,Independent,No,60,48,unknown,Integrity-morganton LLC,,Unknown,0,60,0,0,0,60,FLAGGED,PROPCO_SPLIT,"Operator=unknown, Owner=Integrity-morganton LLC"
9372,MCCRACKEN REST HOME,INDEPENDENT,203 Mccracken St,Waynesville,NC,Independent,Yes,15,12,unknown,Mccracken William R Jr,,Unknown,0,22,0,0,0,22,FLAGGED,PROPCO_SPLIT,"Operator=unknown, Owner=Mccracken William R Jr"
9373,MCCULLOUGH'S REST HOME,"MCCULLOUGH REST HOME, LLC",720 Orr'S Camp Rd,Hendersonville,NC,Independent,No,13,10,,,,,0,0,0,0,0,0,NO_NIC_MATCH,,
9374,MCDOWELL HOUSE,INDEPENDENT,1687 Dairy Dr,Nebo,NC,Independent,Yes,15,12,,,,,0,0,0,0,0,0,NO_NIC_MATCH,,
9375,MCDOWELL HOUSE,"INTEGRITY-MCDOWELL HOUSE, LLC",1687 Dairy Rd,Nebo,NC,Independent,No,25,20,unknown,Integrity-nebo LLC A North Carolina LLC,,Unknown,0,25,0,0,0,25,FLAGGED,PROPCO_SPLIT,"Operator=unknown, Owner=Integrity-nebo LLC A North Carolina LLC"
9376,MCLAMB'S REST HOME,MAYLON & KATIE MCLAMB,998 Five Points Rd,Benson,NC,Corporate,No,12,10,,,,,0,0,0,0,0,0,NO_NIC_MATCH,,
9377,MCLAMB'S REST HOME #2,MAYLON & KATIE MCLAMB,998 Five Points Rd,Benson,NC,Corporate,No,12,10,,,,,0,0,0,0,0,0,NO_NIC_MATCH,,
